Nagoya - Nakagawa (Flood Shelters),Shelter Name - English,Shelter Name - Japanese,Latitude ,Longitude, Shelter Address
,,,,,
1,Noda Elementary School,?????,35.14237,136.84675,"1-545 Noda, Nakagawa-ku, Nagoya-shi, Aichi"
2,Arako Elementary School,?????,35.13439,136.849858,"4-234 Chugo, Nakagawa-ku, Nagoya-shi, Aichi"
3,Ichiyanagi Junior High School,?????,35.134567,136.848922,"4-235 Chugo, Nakagawa-ku, Nagoya-shi, Aichi"
4,Joban Elementary School,?????,35.149165,136.862772,"1-15-2 Komoto, Nakagawa-ku, Nagoya-shi, Aichi"
5,Municipal West School for the Disabled,???????,35.150469,138.861231,"1-19-38 Komoto, Nakagawa-ku, Nagoya-shi, Aichi"
6,Nagara Junior High School,?????,35.133976,136.866353,"1-3-1, Ohata-cho, Nakagawa-ku, Nagoya-shi, Aichi"
7,Prefectural Nakagawa Commercial High School,??????????,35.143076,136.839764,"3-280 Noda, Nakagawa-ku, Nagoya-shi, Aichi"
8,Nakajima Elementary School,?????,35.127722,136.852666,"2-401 Nakajimashincho, Nakagawa-ku, Nagoya-shi, Aichi"
9,Shinohara Elementary School,?????,35.13464,136.872435,"1-55 Marukome-cho, Nakagawa-ku, Nagoya-shi, Aichi"
10,Municipal Technical High School,????????,35.126532,136.8653,"3-13 Kitae-cho, Nakagawa-ku, Nagoya-shi, Aichi"
11,Takasugi Junior High School,?????,35.126092,136.843516,"133 Takasugi-cho, Nakagawa-ku, Nagoya-shi, Aichi"
12,Nishimaeda Elementary School,??????,35.13654,136.832385,"3-1001 Maeda Nishimachi, Nakagawa-ku, Nagoya-shi, Aichi"
13,Nakagawa Lifelong Learning Center,??????????,35.147195,136.877689,"1-2-12 Tomikawa-cho, Nakagawa-ku, Nagoya-shi, Aichi"
14,Nagasuka Elementary School,??????,35.140221,136.830111,"1-1001 Maeda Nishimachi, Nakagawa-ku, Nagoya City, Aichi Prefecture"
15,Showabashi Elementary School,??????,35.126126,136.81548,"7-51-1 Nakanoshincho, Nakagawa-ku, Nagoya-shi, Aichi"
16,Yawata Junior High School,?????,35.137542,136.880308,"2-11 Motonakano-cho, Nakagawa-ku, Nagoya-shi, Aichi"
17,Gotanda Elementary School,??????,35.129846,136.831193,"1-601 Ishikishinmachi, Nakagawa-ku, Nagoya-shi, Aichi"
18,Sukemitsu Junior High School,?????,35.133536,136.828256,"3-201 Sukemitsu, Nakagawa-ku, Nagoya-shi, Aichi"
19,Isshiki Junior High School,?????,35.12869,136.831202,"1-701 Ishikishinmachi, Nakagawa-ku, Nagoya-shi, Aichi"
20,Aichi Elementary School,?????,35.155658,136.878055,"1-35 Hoseicho, Nakagawa-ku, Nagoya-shi, Aichi"
